Código,Título,Publicação,Caderno,Página,Tamanho,Assunto,Resumo,Tipologia,Tipologia_Editorial,Política_Externa,G_x_N,Norte__Sul,Sul__Sul,Negociações,Atitude,Univers_x_Reg,Estados_Unidos,China,Argentina,Venezuela,Bolivia,Cuba,União_Européia,Índia,Irã,Palestina,Rússia,África_do_Sul,África,Ásia,Oriente_Médio,África_Portuguesa,Protagonismo,OMC,ONU,G20,FMI,Banco_Mundial,OEA,IBAS,BRICS,BASIC,Mercosul,Unasul,CELAC,Reformas,Controle_do_Comércio_de_Armas,Natureza_da_Negociação,Regime_de_Mudança_Climática,Desenvolvimento_Sustentável,TNP,Negociações_com_o_Irã,Ministério,Ministro,Presidencial
FSP 15.06.11 (1),As embaixadas e a diplomacia de resultados,Tendências e debates,Primeiro Caderno,3,4107,Itamaraty,Vieira defende que expansão de embaixadas é benéfica à inserção internacional do Brasil. Diz que a abertura desses novos postos elevou exportações do Brasil e que o país mantém relação com parceiros tradicionais ao mesmo tempo em que busca área,4,2,1,1,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9
FSP 15.06.30 (1),Diplomacia de resultados?,Tendências e debates,Primeiro Caderno,3,4127,Itamaraty,"Resposta ao artigo de Vieira 11/06, para Degaut não há relação entre número de repartições diplomáticas e aumento da balança comercial. Inadmissível o Itamaraty vangloriar-se de resultados obtidos pelo setor privado. Falta projeto coerente e ef",4,2,2,1,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,0,2,9
FSP 15.07.25 (1),O Itamaraty e as múlti brasileiras,Mercado,Primeiro Caderno,23,3071,Itamaraty,"Jank diz que papel do Itamaraty é também a promoção comercial e facilitação de investimentos no exterior e que deve haver coordenação entre setor privado e ministério. Diz que esse esforço conjunto deve ser ampliado, sobretudo em países em dese",4,2,2,1,9,1,1,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,9,9
OG 15.01.04 (1),A arte de fazer amigos,Mundo,Primeiro,36,4672,Itamaraty,"A mudança na chancelaria, de Figueiredo para Mauro Vieira, traz novos ares à política externa brasileira. É esperado que em seu segundo mandato, Dilma passe dar mais atenção à política externa.",1,2,0,1,0,0,2,1,1,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,1,2
OG 15.01.08 (1),A árdua tarefa do novo chanceler,Opinião,Primeiro,16,2749,Itamaraty,"A indicação de Mauro Vieira para novo chanceler do Brasil é bem vista, sobretudo sua promessa de ênfase no comércio internacional e desvinculação com o Merscoul.",1,1,2,1,1,2,2,9,1,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,2,9,9,1,9,1,9,9,9,9,1,1,9
OG 15.01.13 (1),Desafios do Itamaraty,Opinião,Primeiro,13,3107,Itamaraty,"O novo ministro é eficiente e habilidoso, mas herda uma instituição desprestigiada e com baixo perfil no cenário global. É necessário recuperar o Itamaraty e impedir seu esvaziamento e substituição de militantes petistas.",1,2,2,9,9,0,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,1,1,2
OG 15.02.26 (1),Hipocrisia,Mundo,Primeiro,27,575,Itamaraty,"A nota do Itamaraty sobre a crise na VEN foi considerada hipócrita ao se preocupar com ""iniciativas tendentes a abreviar o mandato presidencial"".",1,1,2,9,9,2,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9
OG 15.06.23 (2),Falta saber,Mundo,Primeiro,23,241,Itamaraty,Os senadores foram agredidos em Caracas pela falta de segurança que deveria ser provida pelo Itamaraty.,1,1,0,9,9,2,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,2,2
OG 15.08.19 (1),Diplomacia sem dinheiro,Mundo,Primeiro,30,4762,Itamaraty,"A crise política somada a crise economica e ao desprezo de Dilma pela diplomacia, acabaram com os anseios brasileiros na PE. Dívidas internas ao MRE levam a introspecção do mesmo, deixando de lado os temas internacionais.",1,2,2,9,9,9,9,9,1,0,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,2
VLR 15-06-12 (1),"""O Brasil tem o lugar que merece no mundo""",VLR,B,6,17921,Itamaraty,Entrevista com Celso Amorim que retrata política externa do Brasil,3,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9
ESP 15-03-19 (1),Negociação emperrada,ESP,A,3,3932,Mercosul,"",2,1,2,1,1,2,3,1,1,1,9,2,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,2,9,9,9,9,1,9,9,9,9,9,9,2
ESP 15-05-10 (1),Revisão do Mercosul,ESP,B,2,3596,Mercosul,Crítica ao Mercosul e defesa de novos acordos comerciais bilaterais,2,2,2,1,1,2,2,1,1,1,0,2,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,2,9,9,9,9,1,9,9,9,9,9,9,9
ESP 15-06-09 (1),Presidencia brasileira no Mercosul,ESP,A,2,5748,Mercosul,Atuação brasileira no ambito do mercosul,2,2,0,1,9,9,1,1,1,9,9,2,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,0,9,9,9,9,1,9,9,9,9,9,9,9
ESP 15-07-21 (1),Fantasia prorrogada,ESP,A,3,4147,Mercosul,Negociações entre o Brasil e membros do Mercosul,2,1,2,1,9,2,3,1,1,9,9,0,9,0,9,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,0,9,9,9,9,1,9,9,9,9,9,9,9
FSP 15.03.01 (2),"É preciso analisar a mídia, diz representante do Mercosul",Mundo,Primeiro Caderno,14,2670,Mercosul,"Dr. Rosinha, respresentante-geral do Mercosul, afirma que é a Unasul que deve agir no sentido de averiguar se há ruptura de ordem democrática na Venezuela. Diz que se o Mercosul for fazer tal avaliação, a mídia brasileira deve ser analisada tam",4,2,0,9,9,1,2,1,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,9,9,9
FSP 15.05.20 (1),"Mais Mercosul, mais Brasil no mundo",Tendências e debates,Primeiro caderno,3,3920,Mercosul,Rosseto afirma que a estratégia do Brasil de priorizar acordos e integração com América Latina é acertada e não diminui relação com UE nem EUA. Julga que o Mercosul é muito relevante para o Brasil tanto em questões comerciais como estabilidade,4,2,1,1,1,1,2,1,2,1,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,1,9,1,1,0,9,9,1,9,9,9,9,1,9,1
FSP 15.05.23 (1),Hora de navegar,Opinião,Primeiro Caderno,2,2897,Mercosul,"Editorial afirma que Mercosul está em desarmonia devido a acordos individuais com a China. Diz que mudanças econômicas já aparecem no Brasil, mas não atingem a política externa. Defende relações com EUA e o eixo do Pacífico e flexibilização do",4,1,2,1,1,2,2,1,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,2,9,9,9,9,1,9,9,9,9,2,9,9
FSP 15.07.19 (1),Clube da encrenca,Opinião,Primeiro Caderno,2,2247,Mercosul,"Incertezas, desafios e incompatibilidades da Bolívia ao entrar no Mercosul. Relação bilateral com Brasil seria pouco favorecida já que comércio de gás independe de blocos econômicos.",4,1,2,9,9,2,2,1,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,1,9,9,9,9,2,9,9
FSP 15.11.24 (2),"Venezuela 'versus' Macri, saia justa no Mercosul",Mundo,Primeiro Caderno,12,3190,Mercosul,Eleição de Macri e saia justa no Mercosul: a eleição venezuelana se transforme em fonte de conflitos pela cláusula democrática. Governo brasileiro não tem ainda posição a respeito da proposta de Macri.,4,2,0,9,9,9,1,1,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,0
OG 15.04.21 (1),Brasil se mantém à margem do comércio mundial,Opinião,Primeiro,16,2706,Mercosul,"A Parceria Transpacífica mostra velhos equívocos da PEB, recheada por interesses ideológicos que insistem no Mercosul, cada vez mais isolado do comércio mundial.",1,1,2,1,1,2,2,9,1,0,9,2,2,9,9,1,9,9,9,9,9,9,9,9,9,1,0,9,9,9,9,9,9,9,9,2,9,9,1,9,1,9,9,9,9,9,9,9
OG 15.05.23 (1),Regras do Mercosul precisam ser revistas,Opinião,Primeiro,14,2906,Mercosul,"Em face de crises em países-membros, como a ARG e VEN, o Mercosul parou de avançar. Acordos bilaterais são a alternativa.Regras devem ser revistas para dar mais flexibilidade às especificidades econômicas dos países.",1,1,0,1,1,1,3,2,1,9,0,2,2,9,9,1,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,2,9,9,1,9,1,9,9,9,9,9,9,9
OG 15.05.24 (1),Hora de revisão no Mercosul,Opinião,Primeiro,15,3228,Mercosul,O bloco atravessa uma crise institucional e operacional. É necessário reavaliar a proibição de negoc individuais dos sócios com terceiros e o BR como presidente poderia comandar uma revisão.,1,2,0,9,9,0,3,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,2,9,9,1,9,1,9,9,9,9,9,9,9
OG 15.06.09 (1),Presidência do Mercosul,Opinião,Primeiro,15,3047,Mercosul,"Ocupando a presidência do Mercosul, o BR mudou de atitude e admitiu a flexibilzação das regras, com prioridade aos entendimentos com a UE.",1,2,0,1,1,1,2,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,1,9,1,9,9,9,9,9,9,1
OG 15.07.16 (1),Nova agenda para integrar o Mercosul,Opinião,Primeiro,17,3364,Mercosul,"O Mercosul precisa de ajustes, mas suas transações intrabloco não podem ser subestimadas. Ele tbm é um espaço de integração regional para os govs subnacionais do bloco e para suas pops. Deve-se fortalecer o Mercosul e a participação dos entes s",1,2,0,1,9,1,2,1,2,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,1,9,9,1,9,1,9,1,9,9,9,9,9
OG 15.07.27 (1),Andando para trás,Opinião,Primeiro,14,2832,Mercosul,"O Brasil, líder do bloco, já deveria ter adotado uma postura mais pragmática e levado o Mercosul a rever alguns conceitos. Mas por ideologia ficou amarrado. A reaprox com os Eua é sinal de que a equivocada PE começa a ser revista.",1,1,2,1,1,2,2,2,1,1,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,2,9,9,1,9,1,9,9,9,9,9,9,9
OG 15.07.27 (2),Parceria positiva,Opinião,Primeiro,14,2679,Mercosul,"O Mercosul firmou muitos acordos de liberalização comercial no âmbito da Aladi, integrando toda a América do Sul em uma gde área de livre comércio. O bloco é um êxito econômico e comercial mais relevante que EUA e UE.",1,2,0,1,0,1,2,1,2,0,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,1,9,9,9,9,1,9,9,9,9,9,9,9
FSP 15.11.02 (1),'Brasil deveria ajudar fundo climático' diz enviado dos EUA a cúpula do clima,Mundo,Primeiro Caderno,12,8143,Mudança Climática,Países emergentes como China e Brasil deveriam contribuir para o fundo de US$ 100 bilhões anuais destinado a ajudar países em desenvolvimento a se adaptar ao aquecimento global e amenizarem seus efeitos. País propos metas absolutas de redução:,4,2,0,1,2,9,3,9,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,1,9,1
FSP 15.11.28 (1),"Desenvolvidos querem que paguemos a conta do clima com eles, diz ministra",Mundo,Primeiro Caderno,19,10315,Mudança Climática,Multilateralismo: encontrar uma linguagem que seja palatável para todos falar em politicamente vinculante sem envolver Congressos. Desenvolvidos pedem igual responsailidade para contribuir com fundo climático. BR continuará a investir no âmbito,4,2,1,1,2,1,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,0,9,9,9,9,9,9,3,1,1,9,9,9,9,0
FSP 15.11.30 (1),"'Nenhum país pode se omitir na luta à mudança do clima', diz chefe da ONU",Mundo,Primeiro Caderno,14,11437,Mudança Climática,"Ban Ki-Moon: BR: líder mundial e na ONU, contribuições fortes sobre questões dos três pilares de trabalho ONU: paz e segurança, direitos humanos e desenvolvimento. Além das negociações climáticas: todos os países devem colaborar como podem.",4,2,1,1,1,1,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,1,9,3,1,1,9,9,1,9,9
FSP 15.12.13 (1),Nova consciência ambiental pode estar a caminho,Mundo,Primeiro Caderno,17,5260,Mudança Climática,"O cenário é ruim: o acordo não resolve mesmo se todos os países cumprirem suas metas de redução. Participação do Brasil importante, mas há atitudes ainda na contramão. Cop 21 milhares de pessoas propondo outros sistemas, talvez nova consciência",4,2,0,1,1,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,0,9,9
ESP 15-03-16 (1),A crise de água e as mudanças climáticas,ESP,A,2,5405,Mudança Climática,"",2,2,1,1,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
ESP 15-04-10 (1),Estão aí de volta as águas escondidas,ESP,A,2,5905,Mudança Climática,"",2,2,2,1,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,3,1,1,9,9,9,9,9
ESP 15-05-18 (1),Clima- a Conferencia de Paris,ESP,A,2,6086,Mudança Climática,Participação brasileira em fóruns de questões climáticas,2,2,0,1,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,9,9,9,9,9
ESP 15-05-29 (2),"A biodiversidade, lá fora e por aqui",ESP,A,2,5898,Mudança Climática,"Defesa da promoção pelo Brasil, das medidas em apoio a politicas climáticas",2,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
ESP 15-06-15 (1),Réquiem para os combustíveis fósseis?,ESP,A,2,2252,Mudança Climática,Atuação do G-7 e do Brasil nas negociações climáticas,2,2,1,1,0,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,9,9,9
FSP 15.03.09 (1),Brasil pensa que já fez muita coisa pelo clima,Ciência + Saúde,Primeiro Caderno,12,7894,Mudança Climática,"Em entrevista, Rittl afirma que governo Dilma deve trazer ideias inovadoras para as negociações climáticas, assim como se comprometer seriamente com a diminuição do desmatamento e das emissões de CO2.",4,2,2,9,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,9,9,9,0,9,2
FSP 15.04.03 (1),Ambiente de hesitação,Opinião,Primeiro Caderno,2,2449,Mudança Climática,Editorial critica postura brasileira nas negociações de mudança climática. Afirma que os números de desmatamento no país oscilam tendendo a aumentar e que gastos com combate ao desmatamento diminuíram. Metas para pós-2020 não foram apresentadas,4,1,2,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,2,9,2
FSP 15.04.22 (1),2015 é crucial para o futuro,Tendências e Debates,Primeiro Caderno,3,3797,Mudança Climática,Climatologista afirma que efeitos de mudança climática devem ser combatidos agora. Diz que Brasil reduziu bastante suas emissões e que deve implantar mais fontes renováveis em 10 anos. Por fim diz que o Brasil deve defender um acordo ambicioso,4,2,0,1,9,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,0,9,0
FSP 15.04.28 (1),O verde e o maduro,Opinião,Primeiro Caderno,2,2437,Mudança Climática,"Editorial afirma que a questão da adaptação do Brasil às mudanças climáticas deve ser vista com maior atenção. Diz que o assunto é pouco debatido no Brasil e que o país não apresentou suas metas, mas vê chance de mudança com a visita de Dilma a",4,1,2,1,1,9,3,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,0,9,0
FSP 15.07.06 (1),A parte que nos cabe,Tendências e debates,Primeiro Caderno,3,3856,Mudança Climática,Rittl e Ferretti dizem que países disputam quem vai fazer menos no que se refere às medidas para lidar com mudança climática. Afirmam que os compromissos firmados por Dilma nos EUA não sinalizam nenhum esforço de cooperação.,4,2,2,1,9,9,3,1,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,2,0,2
FSP 15.07.18 (1),O Brasil não confia em Dilma,Mercado,Primeiro Caderno,31,3464,Mudança Climática,Presidente não se posiciona de maneira satisfatória sobre ambiente e políticas climáticas em encontro com Obama. Histórico de descaso e danos do governo PT ao meio-ambiente gera desconfiança do brasileiro.,4,2,2,1,1,9,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,3,1,1,9,9,9,9,2
FSP 15.08.24 (1),Há mais chances de um acordo global em Paris,Mundo,Primeiro Caderno,12,8083,Mudança Climática,"Ernst Moniz, secretario de energia dos EUA, prioridades: mudança climática e acordo com Irã. Busca consenso internacional para a COP 21. Necessario trabalho conjunto do BR com outras economias grandes. Cooperação em biocombustíveis é essencial.",4,2,1,1,1,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,9,0,9,9,1
OG 15.06.10 (1),Clima positivo,Sociedade,Primeiro,30,417,Mudança Climática,"Os líderes do G7 concordaram em reduzir as emissões de CO2. Espera-se que países, inclusive o BR, levem propostas substantivas à Conferência do Clima da ONU.",1,1,0,9,9,9,3,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,3,1,9,9,9,9,9,9
OG 15.06.24 (1),Entrevista: ‘ O Brasil é estratégico nas negociações do clima’,Sociedade,Primeiro,28,4068,Mudança Climática,"A embaixadora da UE Ana Paula Zacarias, acredita que o BR é país estratégico nas negociações do clima. O BR é capaz de entender e fazer a ponte entre as nações menos desenvolvidas e as mais desenvolvidas.",1,2,0,1,1,0,3,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,9,9,9,9,9,9
OG 15.06.24 (2),Utopia para chamar de sua,Mundo,Primeiro,24,4631,Mudança Climática,"A visita de Dilma a Washington procurou abordar também sobre a questão climática, todavia, a opinião brasileira é desconhecida. Falta sensibildade de Dilma no comprometimento com a agenda ambiental.",1,2,2,1,1,9,3,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,0,9,9,9,3,9,9,9,9,0,9,0
OG 15.07.01 (1),A meta e o tempo,Economia,Primeiro,20,3479,Mudança Climática,"O anúncio de Dilma em Washington sobre o desmatamento zero, dado seu enorme tempo para cumprir, foi entendido como um jogo de marketing. A análise do intercâmbio comercial entre BR e EUA é resultado de uma política comercial ideologizada.",1,2,2,1,1,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,2
OG 15.07.02 (2),Sono profundo,Opinião,Primeiro,19,2896,Mudança Climática,"O anúncio de Dilma feito nos EUA sobre seus planos no combate às mudanças climáticas é fraco e decepcionante. O Brasil poderia liderar esse debate, mas nada parece sensibilizar Dilma.",1,2,2,9,9,9,9,9,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,2
ESP 15-02-10  (1),O Brasil e a OCDE,ESP,A,2,5675,OCDE,"",2,2,1,1,1,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9
FSP 15.04.15 (1),Virtudes do contorcionismo,Mundo,Primeiro Caderno,12,3058,OCDE,Spektor aplaude acordo entre Brasil e OCDE relativo à adesão a 15 instrumentos jurídicos da organização. Diz que implementação será difícil e que acordo veio na hora certa de corrupção extrema. Afirma a necessidade da política externa ser trans,4,2,0,9,1,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0
VLR 15-04-13 (1),"Indústria paulista, seu novo perfil e a OCDE",VLR,A,2,5881,OCDE,"",3,2,1,1,1,9,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9
ESP 15-02-09 (1),Pouca ambição na OMC,ESP,A,3,3926,OMC,"",2,1,2,1,1,2,3,1,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,2,9,9,9,2,1,9,1,9,9,9,9,9,9,9
FSP 15.03.01 (1),Oportunidade histórica,Tendências e Debates,Primeiro Caderno,3,3722,OMC,Azevêdo afirma que em 2015 a negociações da rodada Doha podem chegar ao fim e ressalta o importante papel de liderança do Brasil na OMC. Afirma que nem por isso o Brasil abre mão de perseguir acordos regionais e bilaterais. São estratégias comp,4,2,1,1,1,1,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,9,9
FSP 15.12.17 (2),Mais do mesmo no OMC,Tendência e debates,Primeiro Caderno,3,3135,OMC,10ªConferência Ministerial OMC. Comércio agrícola: regras de interesse de países desenvolvidos. BR: buscar pacote agrícola robusto. Setor privado> liberalização do mercado. Volta de acesso a mercados no âmbito multilateral: seria mais justo e u,4,2,0,1,1,1,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9
FSP 15.12.24 (1),Nova Fase da OMC,Tendências e debates,Primeiro Caderno,3,3193,OMC,"OMC: negociações multilaterais improdutivas. Há 2 anos: mudança com Pacote de Bali. Quênia: Acordo de Facilitação de Comércio, Acordo sobre TI. Impasse em Doha, mas vitórias em Nairóbi e Bali: negociações multilaterais também podem dar resultad",4,2,0,1,1,1,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9
ESP 15-06-26 (1),Os 70 anos da ONU e a busca da paz,ESP,A,2,6103,ONU,Politica multilateral brasileira no ambito da ONU,2,2,1,1,9,9,3,1,1,1,9,9,0,9,0,9,9,9,9,9,9,9,9,1,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9
FSP 15.01.28 (1),O Brasil e a consolidação da paz,Tendências e Debates,Primeiro Caderno,3,3218,ONU,"Patriota enaltece a positiva participação do Brasil na Comissão de Consolidação da Paz da ONU, sobretudo em países africanos e afirma que ela deve aumentar.",4,2,1,1,9,1,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9
FSP 15.09.10 (1),Disputa em Nova York,Opinião,Primeiro Caderno,2,2454,ONU,"Spektor trata do conflito de levar o tema da reforma ou não do conservador CS à AG. Alemanha, Brasil, Índia e Japão a favor; China, Rússia contra. BR interesse em assento permanente gerará efeitos: exposição do país e imagem presidencial reação",4,2,0,1,9,9,3,1,1,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,0
FSP 15.10.07 (1),Acordo histórico,Opinião,Primeiro Caderno,2,2507,Parceria Transpacífica,"40% do PIB global, atraso e riscos às exportações do Brasil, que esteve fechado nos últimos anos, uma estratégia anacrônica. País deve definir estratégia de integração global efetiva. Bom início: Mercosul de união adua. Mudar para zona de livre",4,1,2,1,9,9,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,0,9,9,9,9,1,9,9,9,9,9,9,9
OG 15.10.06 (1),À margem do novo mundo,Opinião,Primeiro,17,3053,Parceria Transpacífica,"A Parceria Transpacífica afeta o interesse nacional brasileiro, e pode ter efeitos devastadores para o país, que apostou na OMC e Mercosul, estagnados. Dilma parece não estar interessada.",1,2,2,1,1,9,2,9,1,9,9,9,9,9,9,0,9,9,0,9,9,9,9,0,9,1,2,9,9,9,9,9,9,9,9,2,9,9,9,9,1,9,9,9,9,9,9,2
OG 15.10.06 (2),‘Brasil corre o risco de ficar mais isolado’ - entrevista com o diplomata Marcos Caramuru de Paiva,Economia,Primeiro,19,1868,Parceria Transpacífica,"Diplomata afirma afirma que o BR, que sempre acreditou na OMC, corre o risco de se isolar dos fluxos de comércio global com o avanço de acordos regionais.",1,2,0,1,9,9,2,9,1,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9
OG 15.10.07 (1),Política externa resulta em isolamento comercial,Opinião,Primeiro,18,2937,Parceria Transpacífica,"Ao apostar nas ideologias terceiro-mundistas de política comercial, rejeitou-se acordos com os maiores mercados, fechou-se as cadeias globais e aos acordos bilaterais. O BR sofrerá concorrência imbatível da TPP.",1,1,2,1,1,2,2,9,1,1,9,2,2,2,9,1,9,9,0,9,9,9,9,0,9,1,2,9,9,9,9,9,9,9,9,2,9,9,9,9,1,9,9,9,9,9,9,9
OG 15.10.08 (1),"Nem acordinho, nem acórdão",Opinião,Primeiro,16,4820,Parceria Transpacífica,"A TPP pode desviar negócios que o BR possui com alguns membros. Enquanto principais parceiros comerciais estão fechando acordos, o BR continua acreditando na OMC, Mercosul e BRICS, parte da errônea estratégia Sul-sul.",1,2,2,1,1,2,2,9,1,9,0,9,9,9,9,1,9,9,9,9,9,2,9,9,9,1,2,9,9,9,9,9,9,2,9,2,9,9,9,9,1,9,9,9,9,0,9,2
